star_id,radius_fraction,beta,density_g_cm3,temperature_k,mean_molecular_weight,grad_ad,grad_rad,epsilon_erg_g_s,delta_n_rad,delta_n_mu,delta_n_conv,delta_n_nuc_global,delta_n_deg
mesa_model_0001_profile_01,0.09603161517751314,0.9997916101747875,0.0004951442289733508,294267.44247782446,0.6213377715547995,0.39551888235659577,375661.97058176465,6.170412146835037e-20,0.00032071452616784735,4.899859334699386e-05,815006.8493987162,0.11199300147368631,0.0015106519146831639
mesa_model_0001_profile_01,0.09803154523243016,0.9998023380864114,0.0004946087778938325,294053.1467772807,0.6213385908964835,0.39551612698387617,312143.66374449484,6.088041602231306e-20,0.00030419596248439454,5.4355194599509105e-05,675704.115144096,0.11199300147368631,0.00151066275140271
mesa_model_0001_profile_01,0.10003147528734717,0.9998099776767512,0.0004940223469746854,293820.190745738,0.6213394922587278,0.39551310004667745,250366.1935123799,6.001558223714792e-20,0.0002924314869737788,6.163740752782588e-05,540771.210873403,0.11199300147368631,0.0015106652267696
mesa_model_0001_profile_01,0.10203140534226417,0.9998142041254893,0.0004933669886599781,293561.96971462143,0.6213405028046171,0.39550971099996773,191772.82263578248,5.909009027698563e-20,0.0002859204961443949,7.095013189228894e-05,413293.48051320354,0.11199300147368631,0.0015106565486849228
mesa_model_0001_profile_01,0.10403133539718118,0.9998149971375908,0.0004926247553937782,293271.8790153564,0.621341649697236,0.3955058692987151,137806.81386506365,5.808441030595686e-20,0.00028469368224205574,8.239826364899728e-05,296328.5583143634,0.11199300147368631,0.001510633827392607
mesa_model_0001_profile_01,0.10603126545209818,0.9998127138858095,0.0004917776996201541,292943.31397936837,0.6213429600996694,0.3955014843978873,89911.42995058637,5.697901248819228e-20,0.0002882008080007279,9.608669382998869e-05,192906.3688520556,0.11199300147368631,0.0015105940495400308
mesa_model_0001_profile_01,0.10803119550701519,0.9998081813720131,0.0004908078737831738,292569.66993808246,0.6213444611750015,0.3954964657524525,49529.933642711956,5.575436698782258e-20,0.00029516858006644996,0.00010578820694437118,106029.12702575258,0.11199300147368631,0.0015105340458027865
mesa_model_0001_profile_01,0.11003112556193219,0.9998028100423221,0.000489697330326905,292144.34222292417,0.6213461800863173,0.3954907228173786,18105.587691803114,5.43909439689784e-20,0.00030342582198104087,0.00010747980982433626,38671.33805923276,0.11199300147368631,0.0015104504516996835
mesa_model_0001_profile_01,0.1120310556168492,0.9997987310987265,0.000488428200804809,291660.75471980893,0.6213481438832621,0.3954841654329519,-2922.3636151187134,5.286930352240817e-20,0.00030969225212718933,0.00010915300374246999,0.0,0.11199300147368631,0.0015103396763275487
mesa_model_0001_profile_01,0.11403098567176621,0.9997987946717706,0.0004870052026541873,291120.4836765386,0.6213503472284403,0.3954768134485976,-13261.955006760303,5.11956799612579e-20,0.00030958178359105024,0.00011100036976538456,0.0,0.11199300147368631,0.0015102022357728856
mesa_model_0001_profile_01,0.11603091572668321,0.9998053346996377,0.0004854866539587561,290544.45246365777,0.6213527079237762,0.39546894778658526,-15343.93497827792,4.943723746647946e-20,0.00029950406844728687,0.00011320789763357714,0.0,0.11199300147368631,0.001510049145694785
mesa_model_0001_profile_01,0.11803084578160022,0.9998189108843789,0.00048393865015689886,289956.3916834408,0.6213551326188524,0.39546088725037193,-11994.11275702839,4.7669981030161336e-20,0.000278600140160346,0.00011586329226382627,0.0,0.11199300147368631,0.001509893533228772
mesa_model_0001_profile_01,0.12003077583651722,0.999837976391502,0.00048242728668699907,289380.03193816193,0.6213575279632512,0.3954529506434142,-6038.29757036853,4.5969915644392045e-20,0.000249252816412306,0.0001191504976961178,0.0,0.11199300147368631,0.001509749246830215
mesa_model_0001_profile_01,0.12203070589143424,0.9998588159603682,0.00048101865898744013,288839.10383009573,0.6213598006065553,0.3954454567691688,-302.29864565505704,4.4413046301260045e-20,0.00021718036259150611,0.00012338103527197362,0.0,0.11199300147368631,0.001509630862266776
mesa_model_0001_profile_01,0.12403063594635123,0.9998764727481158,0.0004797631295368663,288351.7072546743,0.6213618796697421,0.3954386487449707,2887.9296192546653,4.3057451277582563e-20,0.00019000894206930177,0.0001285738111472139,6070.5395516845,0.11199300147368631,0.0015095500767416867
mesa_model_0001_profile_01,0.12603056600126825,0.9998889369783535,0.0004786342950835898,287908.4682352677,0.6213638039183274,0.39543240039334093,3645.3713150398094,4.187373914243784e-20,0.0001708286687634826,0.00013408483421081208,7645.434021814555,0.11199300147368631,0.0015095015935522376
mesa_model_0001_profile_01,0.12803049605618524,0.9998965185581646,0.0004775823743508855,287491.6459775768,0.6213656455086729,0.3954264730727712,2825.758172540408,4.080588067993583e-20,0.0001591610291272495,0.00013922635886508,5912.712365159205,0.11199300147368631,0.0015094744627645435
mesa_model_0001_profile_01,0.13003042611110224,0.9999008446014229,0.00047655758049202626,287083.4976938411,0.6213674766050966,0.395420628114957,1284.9988881837362,3.979784032752034e-20,0.000152501923850322,0.00014340727798270843,2682.158235085354,0.11199300147368631,0.0015094572988900914
mesa_model_0001_profile_01,0.13203035616601927,0.9999047415868251,0.0004755101409320675,286666.28568023053,0.6213693693517467,0.3954146269195332,-121.24264965821114,3.879359870464938e-20,0.00014650312018583188,0.00014645013899655714,0.0,0.11199300147368631,0.0015094383344812568
